               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023887,           0.0088763,           0.0038445,             0.99838,             0.99986,               0.995,             0.79015,            0.018029,           0.0037258,          0.00077249,            0.006535,            0.006535,            0.006535
                  37,            0.024491,           0.0091016,            0.003752,             0.99942,                   1,               0.995,             0.79697,            0.016774,           0.0037195,          0.00073579,            0.006436,            0.006436,            0.006436
                  38,            0.024253,           0.0089937,           0.0035467,             0.99946,                   1,               0.995,             0.77068,            0.016772,           0.0036424,          0.00075548,            0.006337,            0.006337,            0.006337
                  39,            0.022698,            0.008584,           0.0030798,             0.99924,                   1,               0.995,             0.80663,            0.016379,           0.0036428,          0.00064221,            0.006238,            0.006238,            0.006238
                  40,            0.023375,            0.008383,           0.0030026,             0.99942,                   1,               0.995,              0.7907,            0.017952,           0.0037115,           0.0005603,            0.006139,            0.006139,            0.006139
                  41,            0.023812,           0.0082893,           0.0031321,             0.99945,                   1,               0.995,             0.79685,            0.017733,           0.0036974,          0.00052349,             0.00604,             0.00604,             0.00604
                  42,            0.022359,           0.0086232,           0.0026365,             0.99947,                   1,               0.995,             0.80905,            0.015618,            0.003487,          0.00057688,            0.005941,            0.005941,            0.005941
                  43,            0.022424,           0.0085881,           0.0030993,             0.99954,                   1,               0.995,             0.81578,            0.016654,           0.0035583,           0.0006725,            0.005842,            0.005842,            0.005842
                  44,            0.022677,           0.0083475,           0.0027353,             0.99962,                   1,               0.995,             0.80026,             0.01616,           0.0035363,          0.00058771,            0.005743,            0.005743,            0.005743
                  45,            0.022097,           0.0084205,           0.0031712,             0.99945,                   1,               0.995,             0.81833,            0.016155,           0.0034442,          0.00055584,            0.005644,            0.005644,            0.005644
                  46,            0.021817,           0.0081509,           0.0032696,             0.99958,                   1,               0.995,              0.8278,            0.015652,           0.0034718,          0.00054258,            0.005545,            0.005545,            0.005545
                  47,            0.021722,           0.0087623,           0.0026833,             0.99836,                   1,               0.995,             0.79415,             0.01721,           0.0036332,          0.00053533,            0.005446,            0.005446,            0.005446
                  48,            0.022375,           0.0083715,           0.0027034,             0.99955,                   1,               0.995,             0.81128,            0.014729,           0.0034479,          0.00051778,            0.005347,            0.005347,            0.005347
                  49,            0.021672,           0.0081039,           0.0025505,             0.99952,                   1,               0.995,             0.81896,            0.014623,           0.0033814,          0.00049452,            0.005248,            0.005248,            0.005248
                  50,            0.021388,           0.0080694,           0.0024024,             0.99962,                   1,               0.995,              0.8205,            0.015475,           0.0033742,          0.00051568,            0.005149,            0.005149,            0.005149
                  51,            0.020726,           0.0081707,           0.0025025,             0.99961,                   1,               0.995,             0.83004,            0.013639,           0.0033527,          0.00049035,             0.00505,             0.00505,             0.00505
                  52,            0.020814,           0.0080732,           0.0024192,             0.99959,                   1,               0.995,             0.82366,            0.014624,           0.0033107,          0.00049213,            0.004951,            0.004951,            0.004951
                  53,            0.020866,           0.0082478,           0.0022784,              0.9996,                   1,               0.995,             0.83293,            0.014058,           0.0033394,          0.00051677,            0.004852,            0.004852,            0.004852
                  54,            0.020389,           0.0079079,           0.0020345,             0.99958,                   1,               0.995,             0.83845,            0.014269,            0.003401,          0.00043601,            0.004753,            0.004753,            0.004753
                  55,            0.019853,           0.0080328,           0.0028043,             0.99962,                   1,               0.995,             0.83267,            0.014359,            0.003315,          0.00040805,            0.004654,            0.004654,            0.004654
                  56,             0.02019,           0.0077509,           0.0021399,             0.99956,                   1,               0.995,              0.8365,            0.014144,           0.0032816,          0.00039855,            0.004555,            0.004555,            0.004555
                  57,            0.019495,           0.0079344,           0.0031872,             0.99959,                   1,               0.995,             0.84493,            0.014025,           0.0033444,            0.000408,            0.004456,            0.004456,            0.004456
                  58,            0.018937,           0.0078745,           0.0023308,             0.99953,                   1,               0.995,             0.85078,            0.012557,           0.0031547,          0.00039035,            0.004357,            0.004357,            0.004357
                  59,            0.019553,           0.0078758,            0.002079,             0.99966,                   1,               0.995,             0.84862,            0.013039,           0.0031026,          0.00038806,            0.004258,            0.004258,            0.004258
                  60,            0.018931,           0.0076735,           0.0019222,             0.99964,                   1,               0.995,             0.84389,            0.013508,           0.0031538,          0.00038761,            0.004159,            0.004159,            0.004159
                  61,            0.019413,           0.0076288,           0.0019172,             0.99967,                   1,               0.995,             0.84762,            0.013345,           0.0031667,          0.00035656,             0.00406,             0.00406,             0.00406
                  62,            0.018995,           0.0077162,           0.0022494,             0.99954,                   1,               0.995,             0.85661,            0.012621,           0.0031547,          0.00038605,            0.003961,            0.003961,            0.003961
                  63,            0.018443,            0.007777,           0.0021863,             0.99961,                   1,               0.995,              0.8314,            0.013244,           0.0032855,          0.00040642,            0.003862,            0.003862,            0.003862
                  64,            0.018823,           0.0075935,           0.0019921,             0.99958,                   1,               0.995,             0.86575,            0.012133,           0.0030245,          0.00037912,            0.003763,            0.003763,            0.003763
                  65,            0.018238,           0.0078293,           0.0021352,             0.99961,                   1,               0.995,             0.86611,            0.011998,           0.0030754,          0.00036086,            0.003664,            0.003664,            0.003664
                  66,            0.018176,           0.0073685,           0.0021007,             0.99942,                   1,               0.995,             0.84745,            0.012595,           0.0030897,          0.00033329,            0.003565,            0.003565,            0.003565
                  67,            0.017834,           0.0074323,           0.0018937,             0.99955,                   1,               0.995,             0.86902,            0.011654,           0.0030084,           0.0003064,            0.003466,            0.003466,            0.003466
                  68,            0.017883,           0.0074569,            0.002418,             0.99961,                   1,               0.995,             0.86603,            0.012029,           0.0030823,          0.00029988,            0.003367,            0.003367,            0.003367
                  69,            0.017743,           0.0076584,           0.0012881,              0.9996,                   1,               0.995,             0.85282,            0.012418,            0.002924,          0.00031604,            0.003268,            0.003268,            0.003268
                  70,            0.017986,           0.0072274,           0.0017699,             0.99959,                   1,               0.995,              0.8638,            0.011665,           0.0029302,           0.0002964,            0.003169,            0.003169,            0.003169
                  71,            0.017855,           0.0075993,           0.0012652,             0.99961,                   1,               0.995,             0.86831,            0.011622,           0.0029989,          0.00029432,             0.00307,             0.00307,             0.00307
                  72,            0.017127,           0.0071909,           0.0013368,             0.99965,                   1,               0.995,             0.87786,            0.011343,           0.0029719,           0.0002894,            0.002971,            0.002971,            0.002971
                  73,            0.017191,           0.0071129,           0.0012019,             0.99965,                   1,               0.995,              0.8743,            0.011225,           0.0028239,          0.00030954,            0.002872,            0.002872,            0.002872
                  74,            0.017137,           0.0071962,           0.0014321,             0.99964,                   1,               0.995,             0.87934,            0.011006,            0.002775,          0.00029092,            0.002773,            0.002773,            0.002773
                  75,            0.017106,           0.0074449,           0.0016188,             0.99966,                   1,               0.995,             0.88706,            0.010474,           0.0027274,          0.00028523,            0.002674,            0.002674,            0.002674
                  76,            0.016562,           0.0071031,           0.0015845,             0.99963,                   1,               0.995,             0.89231,            0.010158,           0.0026872,          0.00026354,            0.002575,            0.002575,            0.002575
                  77,            0.016886,           0.0069338,            0.001726,             0.99964,                   1,               0.995,             0.89034,            0.010266,           0.0026737,          0.00026078,            0.002476,            0.002476,            0.002476
                  78,            0.016451,           0.0073865,           0.0011235,             0.99966,                   1,               0.995,             0.88991,            0.010053,            0.002685,          0.00025963,            0.002377,            0.002377,            0.002377
                  79,            0.016097,           0.0070691,           0.0015314,             0.99963,                   1,               0.995,             0.89064,            0.010273,           0.0026789,           0.0002461,            0.002278,            0.002278,            0.002278
                  80,            0.015882,           0.0065942,           0.0011232,             0.99964,                   1,               0.995,             0.89569,           0.0095001,           0.0026134,          0.00023462,            0.002179,            0.002179,            0.002179
                  81,              0.0156,           0.0069143,           0.0015705,             0.99961,                   1,               0.995,             0.90284,           0.0092715,           0.0026023,          0.00022714,             0.00208,             0.00208,             0.00208
                  82,             0.01561,           0.0070048,           0.0014939,             0.99961,                   1,               0.995,             0.90639,           0.0091465,             0.00261,          0.00022344,            0.001981,            0.001981,            0.001981
                  83,            0.015014,            0.006497,           0.0010511,             0.99959,                   1,               0.995,             0.90235,           0.0095064,           0.0025698,          0.00020621,            0.001882,            0.001882,            0.001882
                  84,            0.015487,            0.006831,          0.00098409,              0.9996,                   1,               0.995,             0.90537,           0.0095572,            0.002592,            0.000201,            0.001783,            0.001783,            0.001783
                  85,            0.015083,             0.00682,           0.0011247,             0.99944,                   1,               0.995,             0.90825,           0.0091932,            0.002563,          0.00020207,            0.001684,            0.001684,            0.001684
                  86,            0.014951,           0.0067367,           0.0016677,             0.99949,                   1,               0.995,             0.90731,            0.008963,           0.0024902,           0.0001993,            0.001585,            0.001585,            0.001585
                  87,            0.015106,           0.0066433,           0.0014667,             0.99955,                   1,               0.995,             0.91372,           0.0089376,           0.0024675,          0.00019326,            0.001486,            0.001486,            0.001486
                  88,            0.014976,           0.0068423,           0.0015323,             0.99953,                   1,               0.995,             0.91357,           0.0092042,            0.002468,          0.00018939,            0.001387,            0.001387,            0.001387
                  89,            0.014621,           0.0069106,           0.0010191,             0.99961,                   1,               0.995,             0.91164,           0.0090412,           0.0024661,          0.00018549,            0.001288,            0.001288,            0.001288
                  90,            0.014974,           0.0068223,           0.0013631,             0.99962,                   1,               0.995,             0.92164,           0.0089755,            0.002481,          0.00017559,            0.001189,            0.001189,            0.001189
                  91,            0.014118,           0.0066079,           0.0015467,             0.99964,                   1,               0.995,             0.91603,           0.0088051,           0.0024098,          0.00016175,             0.00109,             0.00109,             0.00109
                  92,            0.014297,           0.0064613,           0.0011253,             0.99963,                   1,               0.995,             0.92118,           0.0087276,           0.0024176,          0.00015158,            0.000991,            0.000991,            0.000991
                  93,            0.013924,           0.0061222,          0.00082359,             0.99963,                   1,               0.995,             0.92215,           0.0086479,           0.0023993,          0.00014454,            0.000892,            0.000892,            0.000892
                  94,            0.013914,           0.0060769,          0.00096467,              0.9996,                   1,               0.995,             0.92273,           0.0086019,           0.0023687,          0.00013865,            0.000793,            0.000793,            0.000793
                  95,            0.013837,           0.0066494,           0.0011009,             0.99959,                   1,               0.995,             0.92611,           0.0084904,           0.0023772,          0.00013126,            0.000694,            0.000694,            0.000694
                  96,            0.014048,           0.0067644,          0.00096145,             0.99961,                   1,               0.995,             0.93205,           0.0083553,           0.0023612,          0.00012711,            0.000595,            0.000595,            0.000595
                  97,            0.013607,           0.0061614,            0.001127,             0.99963,                   1,               0.995,             0.92989,           0.0084392,           0.0023815,          0.00012301,            0.000496,            0.000496,            0.000496
                  98,            0.013947,           0.0065058,           0.0011893,             0.99965,                   1,               0.995,             0.93133,           0.0082638,           0.0023482,          0.00011854,            0.000397,            0.000397,            0.000397
                  99,            0.013497,           0.0063876,          0.00057279,             0.99966,                   1,               0.995,             0.93262,           0.0081209,           0.0023302,          0.00011699,            0.000298,            0.000298,            0.000298
