               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11051,            0.016003,            0.041794,            0.002095,             0.62281,           0.0083685,           0.0019231,             0.12614,           0.0099595,             0.03845,              0.0973,              0.0003,              0.0003
                   1,             0.11067,            0.016208,            0.041046,           0.0024011,             0.69591,           0.0077346,           0.0018119,              0.1184,            0.010442,            0.038564,            0.093699,          0.00069861,          0.00069861
                   2,             0.10135,            0.019607,            0.041769,           0.0029214,              0.8577,            0.019103,           0.0050905,            0.097124,            0.012252,            0.038417,            0.090096,           0.0010956,           0.0010956
                   3,            0.095126,            0.020635,            0.040709,           0.0030923,             0.91131,            0.064231,            0.023648,            0.078177,            0.013576,            0.035855,            0.086491,           0.0014911,           0.0014911
                   4,            0.085909,            0.020557,            0.039553,           0.0034433,             0.98246,             0.08776,            0.021596,            0.072709,            0.014082,            0.035109,            0.082885,            0.001885,            0.001885
                   5,            0.084736,            0.025529,            0.039272,           0.0035422,             0.98246,             0.12414,            0.048536,            0.068481,            0.014687,            0.035566,            0.079277,           0.0022772,           0.0022772
                   6,            0.083329,             0.02167,            0.038411,           0.0035385,                   1,             0.12648,            0.046179,             0.06524,            0.014903,            0.036395,            0.075668,           0.0026679,           0.0026679
                   7,            0.076637,            0.025721,             0.03723,           0.0034145,             0.98246,             0.23042,            0.074187,            0.062434,            0.014467,            0.035439,            0.072057,            0.003057,            0.003057
                   8,            0.073648,             0.02531,            0.036283,             0.22998,             0.42982,             0.21228,            0.073468,            0.058297,             0.01421,            0.034181,            0.068445,           0.0034446,           0.0034446
                   9,            0.070646,            0.026012,             0.03562,             0.07962,             0.25241,             0.10666,            0.026043,            0.060669,            0.012786,             0.03313,            0.064831,           0.0038305,           0.0038305
                  10,            0.064576,            0.024926,            0.034411,            0.015149,             0.17739,            0.023329,           0.0090113,            0.064758,            0.011213,            0.032955,            0.061215,           0.0042149,           0.0042149
                  11,            0.061965,            0.020933,            0.033586,            0.049315,             0.71832,            0.057509,            0.020446,            0.057552,            0.011806,            0.032363,            0.057598,           0.0045976,           0.0045976
                  12,            0.059161,            0.022707,            0.033971,            0.045988,             0.56043,            0.058684,            0.021217,            0.059895,            0.011032,            0.031359,            0.053979,           0.0049788,           0.0049788
                  13,            0.067738,            0.019439,            0.035089,             0.11895,              0.6306,             0.17098,            0.054228,            0.058603,            0.011113,            0.031658,            0.050358,           0.0053584,           0.0053584
                  14,             0.05989,            0.020432,            0.033738,             0.36554,             0.47076,             0.38314,             0.13992,            0.053758,            0.011063,            0.031792,            0.046736,           0.0057365,           0.0057365
                  15,            0.061043,            0.018554,            0.033693,             0.51126,              0.4883,             0.52192,             0.23281,            0.058228,            0.010098,            0.032788,            0.043113,           0.0061129,           0.0061129
                  16,            0.059273,             0.01956,            0.033754,             0.42601,             0.54288,             0.49961,              0.1772,            0.056286,            0.011401,            0.031764,            0.039488,           0.0064877,           0.0064877
                  17,            0.053879,            0.021876,            0.033021,             0.53492,             0.46979,             0.52211,             0.15422,            0.060248,            0.010691,            0.028912,            0.035861,            0.006861,            0.006861
                  18,            0.063211,            0.016758,            0.031468,             0.49244,             0.62733,             0.64979,             0.24805,            0.065092,            0.010778,            0.027335,            0.032233,           0.0072327,           0.0072327
                  19,            0.063753,            0.018039,            0.031815,             0.72304,             0.51677,             0.67604,             0.40566,            0.050315,            0.011597,            0.025906,            0.028603,           0.0076028,           0.0076028
                  20,            0.054071,            0.019932,            0.030308,             0.51635,             0.59078,             0.70454,             0.36083,            0.078907,           0.0094598,            0.023255,            0.024971,           0.0079713,           0.0079713
                  21,            0.072703,             0.01813,            0.032757,             0.59884,             0.70789,             0.75349,             0.35552,            0.053321,           0.0091096,            0.022847,            0.021338,           0.0083383,           0.0083383
                  22,            0.052451,            0.018705,            0.031424,             0.26735,             0.57356,             0.40401,             0.13638,            0.061613,           0.0098753,            0.022245,            0.017704,           0.0087036,           0.0087036
                  23,            0.064326,            0.018132,            0.030969,             0.56687,             0.69298,             0.67635,             0.33183,            0.048421,           0.0093476,            0.021472,            0.014067,           0.0090674,           0.0090674
                  24,            0.050756,            0.019407,            0.030059,             0.43689,             0.51449,             0.55531,             0.27755,            0.058983,           0.0085987,            0.021323,             0.01043,           0.0094296,           0.0094296
                  25,            0.064339,             0.01738,            0.030323,             0.57273,             0.69622,             0.68964,             0.26565,            0.046004,           0.0091262,            0.020525,            0.009505,            0.009505,            0.009505
                  26,            0.053311,            0.016847,            0.026967,             0.51576,             0.61306,             0.55757,             0.27326,            0.054604,           0.0076062,            0.018324,            0.009505,            0.009505,            0.009505
                  27,            0.053085,            0.016042,            0.027914,             0.71399,             0.85262,             0.81762,             0.31041,            0.047442,           0.0082351,            0.016529,           0.0094852,           0.0094852,           0.0094852
                  28,            0.046887,            0.017997,            0.026744,             0.61438,             0.82148,             0.66939,             0.32692,            0.044988,           0.0083089,             0.01516,           0.0094654,           0.0094654,           0.0094654
                  29,            0.050807,            0.018686,            0.025092,             0.62445,             0.73046,             0.71767,             0.25234,            0.047791,           0.0078237,            0.014324,           0.0094456,           0.0094456,           0.0094456
                  30,            0.053054,            0.015624,            0.024533,             0.67213,             0.87873,             0.81349,             0.35563,            0.052041,           0.0078865,            0.013279,           0.0094258,           0.0094258,           0.0094258
